店舗名,都道府県,エリア,サムネイル,スケジュール,公式URL,セラピスト
美魔女セラピー大阪,大阪府,長堀橋,なし,なし,あり,なし
綺麗なサロン,大阪府,長堀橋,なし,なし,あり,なし
Queen Spumante (クイーンスプマンテ),大阪府,長堀橋,なし,なし,あり,なし
FIRST CLASS (ファーストクラス) 大阪,大阪府,長堀橋・松屋町,松屋町,なし,なし,あり,なし
DSP,大阪府,難波,なし,なし,あり,なし
FIRST CLASS (ファーストクラス) 大阪,大阪府,難波,なし,なし,あり,なし
LEON SPA Gold (レオンスパゴールド),大阪府,難波,なし,なし,あり,なし
ミセス美オーラ,大阪府,難波,なし,なし,あり,なし
ミセスあまおうセラピ 旧ミセスマドンナ,大阪府,日本橋,なし,なし,あり,なし
アロマワン,大阪府,日本橋,なし,なし,あり,なし
ベルマドンナ (旧ベラドンナ),大阪府,日本橋,なし,なし,あり,なし
美魔女セラピー大阪,大阪府,日本橋,なし,なし,あり,なし
うさぎのお部屋,大阪府,日本橋,なし,なし,あり,なし
セレブスパプレミアム,大阪府,日本橋,なし,なし,あり,なし
C.r.e.a.m (クリーム),大阪府,日本橋,なし,なし,あり,なし
DSP,大阪府,日本橋,なし,なし,あり,なし
イーエスドールプレミアム,大阪府,日本橋,なし,なし,あり,なし
FIRST CLASS (ファーストクラス) 大阪,大阪府,日本橋,なし,なし,あり,なし
マダムと紳士,大阪府,日本橋,なし,なし,あり,なし
マ・ジ・メSPA（マジメスパ）,大阪府,日本橋,なし,なし,あり,なし
milk tea (ミルクティー),大阪府,日本橋,なし,なし,あり,なし
ミセスムーンR 大阪,大阪府,日本橋,なし,なし,あり,なし
俺の家,大阪府,日本橋,なし,なし,あり,なし
Sanando (サナンド),大阪府,日本橋,なし,なし,あり,なし
Skit (スキット),大阪府,日本橋,なし,なし,あり,なし
SEACRET ROOM ひまわり,大阪府,日本橋,なし,なし,あり,なし
スーパーハッピーガールズ (SUPER HAPPY GIRLS),大阪府,日本橋,なし,なし,あり,なし
天上人PREMIUM,大阪府,日本橋,なし,なし,あり,なし
ベルマドンナ (旧ベラドンナ),大阪府,西中島,なし,なし,あり,なし
セレブスパプレミアム,大阪府,西中島,なし,なし,あり,なし
もくきん堂,大阪府,西中島,なし,なし,あり,なし
ベルマドンナ (旧ベラドンナ),大阪府,堺東,なし,なし,あり,なし
うさぎのお部屋,大阪府,堺東,なし,なし,あり,なし
セレブスパプレミアム,大阪府,堺東,なし,なし,あり,なし
ミセスの子守唄,大阪府,堺東,なし,なし,あり,なし
LEON SPA (レオンスパ),大阪府,堺東,なし,なし,あり,なし
LEON SPA Gold (レオンスパゴールド),大阪府,堺東,なし,なし,あり,なし
ミセスムーンR 大阪,大阪府,堺東,なし,なし,あり,なし
SEACRET ROOM ひまわり,大阪府,堺東,なし,なし,あり,なし
ミセスあまおうセラピ 旧ミセスマドンナ,大阪府,堺筋本町,なし,なし,あり,なし
ベルマドンナ (旧ベラドンナ),大阪府,堺筋本町,なし,なし,あり,なし
美魔女セラピー大阪,大阪府,堺筋本町,なし,なし,あり,なし
セレブスパプレミアム,大阪府,堺筋本町,なし,なし,あり,なし
C.r.e.a.m (クリーム),大阪府,堺筋本町,なし,なし,あり,なし
DSP,大阪府,堺筋本町,なし,なし,あり,なし
イーエスドールプレミアム,大阪府,堺筋本町,なし,なし,あり,なし
FIRST CLASS (ファーストクラス) 大阪,大阪府,堺筋本町,なし,なし,あり,なし
FROG SPA (フロッグスパ),大阪府,堺筋本町,なし,なし,あり,なし
Furyu 風流 (フウリュウ),大阪府,堺筋本町,なし,なし,あり,なし
GOAT(ゴート) 旧琥珀,大阪府,堺筋本町,なし,なし,あり,なし
感謝 旧愛燦燦,大阪府,堺筋本町,なし,なし,あり,なし
綺麗なサロン,大阪府,堺筋本町,なし,なし,あり,なし
こころのゆりかご 大阪,大阪府,堺筋本町,なし,なし,あり,なし
ミセスの子守唄,大阪府,堺筋本町,なし,なし,あり,なし
LIRICA OSAKA (リリカ大阪),大阪府,堺筋本町,なし,なし,あり,なし
マ・ジ・メSPA（マジメスパ）,大阪府,堺筋本町,なし,なし,あり,なし
ミセスムーンR 大阪,大阪府,堺筋本町,なし,なし,あり,なし
Queen Spumante (クイーンスプマンテ),大阪府,堺筋本町,なし,なし,あり,なし
Skit (スキット),大阪府,堺筋本町,なし,なし,あり,なし
SPALOT.Mrs (スパロットミセス),大阪府,堺筋本町,なし,なし,あり,なし
SEACRET ROOM ひまわり,大阪府,堺筋本町,なし,なし,あり,なし
タマネギ 大阪,大阪府,堺筋本町,なし,なし,あり,なし
天上人PREMIUM,大阪府,堺筋本町,なし,なし,あり,なし
和いふらいん 大阪,大阪府,堺筋本町,なし,なし,あり,なし
和いふらいん 大阪,大阪府,堺筋本町,なし,なし,あり,なし
LEON SPA Gold (レオンスパゴールド),大阪府,桜川,なし,なし,あり,なし
ミセス美オーラ,大阪府,桜川,なし,なし,あり,なし
ベルマドンナ (旧ベラドンナ),大阪府,新大阪,なし,なし,あり,なし
うさぎのお部屋,大阪府,新大阪,なし,なし,あり,なし
セレブスパプレミアム,大阪府,新大阪,なし,なし,あり,なし
DSP,大阪府,新大阪,なし,なし,あり,なし
FIRST CLASS (ファーストクラス) 大阪,大阪府,新大阪,なし,なし,あり,なし
こころのゆりかご 大阪,大阪府,新大阪,なし,なし,あり,なし
ミセスの子守唄,大阪府,新大阪,なし,なし,あり,なし
マ・ジ・メSPA（マジメスパ）,大阪府,新大阪,なし,なし,あり,なし
もくきん堂,大阪府,新大阪,なし,なし,あり,なし
ミセス美オーラ,大阪府,新大阪,なし,なし,あり,なし
僕のママスパ,大阪府,新大阪,なし,なし,あり,なし
SPALOT.Mrs (スパロットミセス),大阪府,新大阪,なし,なし,あり,なし
SEACRET ROOM ひまわり,大阪府,新大阪,なし,なし,あり,なし
DSP,大阪府,心斎橋,なし,なし,あり,なし
FIRST CLASS (ファーストクラス) 大阪,大阪府,心斎橋,なし,なし,あり,なし
Skit (スキット),大阪府,心斎橋,なし,なし,あり,なし
SEACRET ROOM ひまわり,大阪府,吹田,なし,なし,あり,なし
ミセス美オーラ,大阪府,高槻,なし,なし,あり,なし
SEACRET ROOM ひまわり,大阪府,高槻,なし,なし,あり,なし
タマネギ 大阪,大阪府,高槻,なし,なし,あり,なし
和いふらいん 大阪,大阪府,高槻,なし,なし,あり,なし
ミセスあまおうセラピ 旧ミセスマドンナ,大阪府,谷町九丁目,なし,なし,あり,なし
ベルマドンナ (旧ベラドンナ),大阪府,谷町九丁目,なし,なし,あり,なし
うさぎのお部屋,大阪府,谷町九丁目,なし,なし,あり,なし
セレブスパプレミアム,大阪府,谷町九丁目,なし,なし,あり,なし
C.r.e.a.m (クリーム),大阪府,谷町九丁目,なし,なし,あり,なし
DSP,大阪府,谷町九丁目,なし,なし,あり,なし
FIRST CLASS (ファーストクラス) 大阪,大阪府,谷町九丁目,なし,なし,あり,なし
マダムと紳士,大阪府,谷町九丁目,なし,なし,あり,なし
マ・ジ・メSPA（マジメスパ）,大阪府,谷町九丁目,なし,なし,あり,なし
