店舗名,都道府県,エリア,サムネイル,スケジュール,公式URL,セラピスト
Aroma LaLuna (アロマラルーナ),東京都,新宿,なし,なし,あり,あり
First (ファースト) 新宿店,東京都,新宿,あり,なし,なし,あり
LugarTOKYO (新宿店),東京都,新宿,なし,なし,あり,あり
Aroma Lunabelle (新宿店),東京都,新宿,なし,なし,あり,あり
メンズエステ Lynx 新宿店,東京都,新宿,あり,なし,なし,あり
Natural Organic Spa (ナチュラルオーガニックスパ),東京都,新宿,なし,なし,あり,あり
QUEEN'S COLLECTION 新宿ルーム,東京都,新宿,なし,なし,あり,なし
AROMA GLAMOUR 新宿御苑店,東京都,新宿御苑,あり,なし,なし,あり
Aroma Jewels 新宿御苑ルーム,東京都,新宿御苑,なし,なし,あり,あり
Aroma Levante (新宿ルーム),東京都,新宿御苑,なし,なし,あり,あり
Chocolate (新宿ルーム),東京都,新宿御苑,なし,なし,あり,あり
メンズエステ コル・カロリ 新宿御苑店,東京都,新宿御苑,あり,なし,なし,あり
MITSUBACHI (ミツバチ) 新宿御苑店,東京都,新宿御苑,あり,なし,なし,あり
NATURAL (新宿御苑店),東京都,新宿御苑,なし,なし,あり,あり
ONE ROOM (ワンルーム) 新宿御苑店,東京都,新宿御苑,あり,なし,なし,あり
PLATINUM TOKYO 新宿御苑店,東京都,新宿御苑,あり,なし,なし,あり
Rise～リゼ～ 新宿御苑店,東京都,新宿御苑,なし,なし,あり,なし
Tokyo Panic (トウキョウパニック),東京都,新宿御苑,なし,なし,あり,あり
トキョプラ 旧T+Plus (ティープラス) 新宿,東京都,新宿御苑,なし,なし,あり,あり
AROMA GLAMOUR 新宿三丁目店,東京都,新宿三丁目,あり,なし,なし,あり
Aroma Jewels 新宿三丁目ルーム,東京都,新宿三丁目,なし,なし,あり,あり
AROMA TIAMO (アロマティアーモ) 新宿三丁目店,東京都,新宿三丁目,なし,なし,あり,なし
MITSUBACHI (ミツバチ) 新宿三丁目店,東京都,新宿三丁目,あり,なし,なし,あり
ONE ROOM (ワンルーム) 新宿三丁目店,東京都,新宿三丁目,あり,なし,なし,あり
ピーチネクスト 新宿三丁目ルーム,東京都,新宿三丁目,なし,なし,あり,あり
QUEEN'S COLLECTION 新宿三丁目ルーム,東京都,新宿三丁目,なし,なし,あり,なし
Rise～リゼ～ 新宿三丁目店,東京都,新宿三丁目,なし,なし,あり,なし
東京メンズエステ 新宿三丁目ルーム,東京都,新宿三丁目,なし,なし,あり,なし
トキョプラ 旧T+Plus (ティープラス) 新宿,東京都,新宿三丁目,なし,なし,あり,あり
Chocolate (新大久保ルーム),東京都,,なし,なし,あり,あり
NATURAL (新大久保店),東京都,,なし,なし,あり,あり
AROMA MRS,東京都,高田馬場,なし,なし,あり,なし
Chat noir (シャノワール),東京都,高田馬場,なし,なし,あり,あり
Cozy（コーズィー）,東京都,高田馬場,なし,なし,あり,なし
everGreen,東京都,高田馬場,なし,なし,あり,なし
felix（フェリックス）,東京都,高田馬場,なし,なし,あり,なし
GRAND CHARIOT,東京都,高田馬場,なし,なし,あり,なし
メンズエステ Lynx 高田馬場店,東京都,高田馬場,あり,なし,なし,あり
R.sスパ,東京都,高田馬場,なし,なし,あり,なし
SALON BLANCA (サロンブランカ) 高田馬場店,東京都,高田馬場,あり,なし,なし,あり
Zexterior (旧アンビエンス) 新宿店,東京都,若松河田,あり,なし,なし,あり
E小町 (いいこまち),東京都,四谷,なし,なし,あり,なし
四ツ谷メンズエステ E小町 四谷三丁目店,東京都,四谷三丁目,あり,なし,なし,あり
Zexterior (旧アンビエンス) 四谷３丁目店,東京都,四谷三丁目,あり,なし,なし,あり
スパフレイム (Spa Flame),東京都,高円寺,なし,なし,あり,あり
a laise,東京都,荻窪,なし,なし,あり,なし
Aroma charmant (アロマシャルマント),東京都,荻窪,なし,なし,あり,あり
CREST SPA TOKYO (クレストスパ),東京都,荻窪,なし,なし,あり,あり
メンズエステJJ,東京都,荻窪,なし,なし,あり,なし
よりみち (Yorimichi) (旧いごこち),東京都,荻窪,なし,なし,あり,あり
Aroma Cura (アロマクラ),東京都,錦糸町,あり,なし,なし,あり
神のエステ 錦糸町・亀戸店,東京都,錦糸町,あり,なし,なし,あり
Limited Spa (リミテッドスパ),東京都,錦糸町,なし,なし,あり,なし
Luxtime (錦糸町店),東京都,錦糸町,なし,なし,あり,あり
ワイフコレクション,東京都,錦糸町,あり,なし,なし,あり
大人スパ くつろぎ 両国,東京都,両国,あり,なし,なし,あり
CREST SPA TOKYO (クレストスパ),東京都,立川市,なし,なし,あり,あり
Disini (ディシニ),東京都,立川市,なし,なし,あり,あり
MORGANITE (モルガナイト),東京都,立川市,なし,なし,あり,あり
ラビットスパ (Rabbit Spa) 立川店,東京都,立川市,なし,なし,あり,あり
ぐらどるスパ,東京都,立川,なし,なし,あり,なし
トキョプラ (旧T+Plus),東京都,立川,なし,なし,あり,あり
トキョプラ 旧T+Plus (ティープラス) 新宿,東京都,立川市,なし,なし,あり,あり
Assouplir (アスプリー浅草橋店),東京都,浅草橋,なし,なし,あり,あり
Weal (ウィール浅草橋店),東京都,浅草橋,なし,なし,あり,あり
Aroma Rejina (アロマレジーナ) 上野,東京都,上野,あり,なし,なし,あり
癒しの空間 Annex,東京都,上野,あり,なし,なし,あり
東京ラグジュアリー（旧ビジョスパ）,東京都,上野,なし,なし,あり,なし
Ueno Luxury (上野ラグジュアリー),東京都,上野,あり,なし,なし,あり
ULTIMATE SPA (アルティメットスパ) 上野,東京都,上野,あり,なし,なし,あり
TRENDY SPA (聖蹟桜ヶ丘店),東京都,聖蹟桜ヶ丘,なし,なし,あり,あり
TRENDY SPA (多摩センター店),東京都,多摩センター,なし,なし,あり,あり
Anemone (アネモネ),東京都,池袋,なし,なし,あり,なし
アロマリゾート (旧昭和倶楽部),東京都,池袋,なし,なし,あり,なし
AROMA TIAMO (アロマティアーモ) 池袋店,東京都,池袋,なし,なし,あり,なし
AROMA more (アロマモア),東京都,東口,あり,なし,あり,あり
ATLANTIS (アトランティス),東京都,池袋,あり,なし,なし,あり
美・セラ極～KIWAMI～,東京都,池袋,なし,なし,あり,なし
カシェット (旧紳士のエステ),東京都,池袋,なし,なし,あり,なし
メンズエステ コル・カロリ 池袋店,東京都,池袋,あり,なし,なし,あり
Eternal (エターナル) 池袋,東京都,池袋,なし,なし,あり,なし
,東京都,池袋,なし,なし,あり,あり
ルレーヴ (Le Reve CK),東京都,池袋,なし,なし,あり,なし
Aroma Lunabelle (池袋店),東京都,池袋,なし,なし,あり,あり
Luxtime (池袋店),東京都,池袋,なし,なし,あり,あり
メンズエステ Lynx 池袋店,東京都,池袋,あり,なし,なし,あり
メンズパスタイム（旧アルパカの想い）,東京都,池袋,なし,なし,あり,なし
むちむちお姉さん,東京都,池袋,なし,なし,あり,なし
NATURAL (池袋店),東京都,池袋,なし,なし,あり,あり
OTONA TIC (オトナチック),東京都,池袋,なし,なし,あり,なし
おとな女子,東京都,池袋,なし,なし,あり,なし
PLATINUM TOKYO 池袋店,東京都,池袋,あり,なし,なし,あり
Rex (レックス池袋店),東京都,池袋,なし,なし,あり,あり
SALON BLANCA (サロンブランカ) 池袋店,東京都,池袋,あり,なし,なし,あり
東京フェアリーランド,東京都,池袋,なし,なし,あり,なし
Tokyo Fairy Land (東京フェアリーランド),東京都,池袋,なし,なし,あり,あり
東京メンズエステ 池袋ルーム,東京都,池袋,なし,なし,あり,なし
アマリリス,東京都,大塚,なし,なし,あり,なし
大塚メンズエステMG,東京都,大塚,なし,なし,あり,なし
ウルレア巣鴨（旧リベア）,東京都,巣鴨,なし,なし,あり,なし
