id,name,therapist_count,therapists_sample
1066,FIRST CLASS (ファーストクラス) 大阪,83,1066_1066-1
1077,こころのゆりかご 大阪,68,1077_1077-1
1085,ミセスの子守唄,103,1085_1085-1
1116,マ・ジ・メSPA（マジメスパ）,78,1116_1116-1
1082,もくきん堂,90,1082_1082-1
1100,ミセス美オーラ,190,1100_1100-1
1073,僕のママスパ,74,1073_1073-1
1098,SPALOT.Mrs (スパロットミセス),49,1098_1098-1
1091,SEACRET ROOM ひまわり,66,1091_1091-1
1107,DSP,56,1107_1107-1
1066,FIRST CLASS (ファーストクラス) 大阪,83,1066_1066-1
1113,Skit (スキット),45,1113_1113-1
1091,SEACRET ROOM ひまわり,66,1091_1091-1
1100,ミセス美オーラ,190,1100_1100-1
1091,SEACRET ROOM ひまわり,66,1091_1091-1
1105,タマネギ 大阪,61,1105_1105-1
1089,和いふらいん 大阪,83,1089_1089-1
1095,ミセスあまおうセラピ 旧ミセスマドンナ,36,1095_1095-1
1109,ベルマドンナ (旧ベラドンナ),153,1109_1109-1
1065,うさぎのお部屋,94,1065_1065-1
1118,セレブスパプレミアム,62,1118_1118-1
1092,C.r.e.a.m (クリーム),56,1092_1092-1
1107,DSP,56,1107_1107-1
1066,FIRST CLASS (ファーストクラス) 大阪,83,1066_1066-1
1106,マダムと紳士,49,1106_1106-1
1116,マ・ジ・メSPA（マジメスパ）,78,1116_1116-1
1087,ミセスムーンR 大阪,99,1087_1087-1
1108,俺の家,113,1108_1108-1
1091,SEACRET ROOM ひまわり,66,1091_1091-1
1111,スーパーハッピーガールズ (SUPER HAPPY GIRLS),42,1111_1111-1
1068,美魔女セラピー大阪,164,1068_1068-1
1065,うさぎのお部屋,94,1065_1065-1
1108,俺の家,113,1108_1108-1
1075,ビューティーアンドビースト,121,1075_1075-1
1109,ベルマドンナ (旧ベラドンナ),153,1109_1109-1
1068,美魔女セラピー大阪,164,1068_1068-1
1065,うさぎのお部屋,94,1065_1065-1
1118,セレブスパプレミアム,62,1118_1118-1
1067,ダーリンプレミアム,111,1067_1067-1
1107,DSP,56,1107_1107-1
1066,FIRST CLASS (ファーストクラス) 大阪,83,1066_1066-1
1115,Furyu 風流 (フウリュウ),59,1115_1115-1
1080,GOAT(ゴート) 旧琥珀,23,1080_1080-1
1114,隠れ家~大人の癒し空間~,36,1114_1114-1
1077,こころのゆりかご 大阪,68,1077_1077-1
1069,La vie et (ラヴィエ),92,1069_1069-1
1094,LIRICA OSAKA (リリカ大阪),68,1094_1094-1
1106,マダムと紳士,49,1106_1106-1
1116,マ・ジ・メSPA（マジメスパ）,78,1116_1116-1
1081,ムフフフットケアセンター,32,1081_1081-1
1073,僕のママスパ,74,1073_1073-1
1108,俺の家,113,1108_1108-1
1091,SEACRET ROOM ひまわり,66,1091_1091-1
1111,スーパーハッピーガールズ (SUPER HAPPY GIRLS),42,1111_1111-1
1070,スーパーハッピーガールズ (SUPER HAPPY GIRLS),42,1070_1070-1
1179,PLATINA (プラチナ) 川越,16,1179_1179-1
77509,Limited Spa (リミテッドスパ),76,77509-yuri
1162,神のエステ 大宮店,124,1162_1162-1
1172,今日子の姉妹 大宮,28,1172_1172-1
1173,らんぷ 大宮,37,1173_1173-1
1166,オフスート (Offsuit) 旧ランクプラス,94,1166_1166-1
1165,Queendom (クイーンダム),89,1165_1165-1
1171,Regis (レジス),29,1171_1171-1
himitsu_mrs_room_minamiurawa,秘密のミセスルーム 南浦和,4,himitsu_mrs_room_minamiurawa_綾瀬あい
muchispa_minamiurawa,むちすぱルーム 南浦和,4,muchispa_minamiurawa_長谷川みか
1174,メンズエステ妻 浦和,56,1174_1174-1
1166,オフスート (Offsuit) 旧ランクプラス,94,1166_1166-1
1171,Regis (レジス),29,1171_1171-1
1167,MABUI SPA (マブイスパ),79,1167_1167-1
1184,ゆりかご 京都,60,1184_1184-1
1184_5,ゆりかご 京都,60,1184_5_1184-1
1184_4,ゆりかご 京都,60,1184_4_1184-1
1158,リオラ (旧マリラ),61,1158_1158-1
77530,竜宮城 旧百万石,83,77530-hazuki-mio
tokyo_adachi_kitasenju_macherie,マシェリ,8,macherie_長澤 ゆり
tokyo_adachi_kitasenju_muchispa_room,むちすぱルーム 北千住,4,muchispa_room_長谷川 みか
tokyo_adachi_kitasenju_ranpu_kitasenju,らんぷ 北千住,8,ranpu_kitasenju_新垣 あい
tokyo_adachi_kitasenju_remis,ランス (REMIS) 旧ニルス,41,remis_如月 なな
tokyo_adachi_takenotsuka_aroma_banker,Aroma BANKER (アロマバンカー),4,aroma_banker_新垣 あい
tokyo_adachi_ushida_ranpu_kitasenju,らんぷ 北千住,73,ranpu_kitasenju_松山 えりな
tokyo_arakawa_nippori_aroma_giraffe,アロマジラフ 旧アロマオリオ,70,aroma_giraffe_加賀 みらい
tokyo_arakawa_nippori_deep_black,Deep Black (ディープブラック),31,deep_black_えりか
tokyo_chiyoda_akihabara_ar_tokyo,ar Tokyo (アールトウキョウ秋葉原),107,ar_tokyo_佐藤りか
tokyo_chiyoda_akihabara_aroma_amour,AROMA AMOUR (秋葉原店),65,aroma_amour_里吉るの
tokyo_chiyoda_akihabara_aroma_lunabelle_akihabara,Aroma Lunabelle (アロマルナベール秋葉原),57,aroma_lunabelle_夏目れいな
tokyo_chiyoda_akihabara_aroma_rejina,Aroma Rejina 秋葉原 (アロマレジーナ),94,aroma_rejina_神崎 るか
tokyo_chiyoda_akihabara_assouplir,Assouplir (アスプリー秋葉原店),57,assouplir_上原るみ
tokyo_chiyoda_akihabara_prispa,Prispa (プリスパ),78,prispa_坂口レイ
tokyo_chiyoda_akihabara_rex,Rex (レックス秋葉原店),42,rex_鈴森ひな
tokyo_chiyoda_akihabara_the_salon,The Salon (ザ・サロン秋葉原店),100,the_salon_ぴの
tokyo_chiyoda_akihabara_weal,Weal (ウィール秋葉原店),41,weal_椎名ななせ
tokyo_chiyoda_iwamotocho_kami_no_esthe,神のエステ (東京・岩本町店),51,kami_no_esthe_るるは
tokyo_chiyoda_jimbocho_queens_collection,QUEEN'S COLLECTION 神保町ルーム,47,queens_collection_千歳みづき
tokyo_chiyoda_kanda_chill_spa,Chill Spa (ちるスパ),20,chill_spa_あやか
tokyo_chiyoda_kanda_kami_no_esthe,神のエステ (東京・神田店),51,kami_no_esthe_るるは
tokyo_chiyoda_yotsuya_e_komachi,四ツ谷メンズエステ E小町 四谷店,90,e_komachi_早乙女 なお
tokyo_chofu_aroma_ella,Aroma ELLA (アロマエラ 調布店),32,aroma_ella_青葉りんか
tokyo_chofu_jesse,Jesse (ジェシー 調布店),60,jesse_あいり
tokyo_chofu_kami_chofu,神のエステ (調布店),116,kami_chofu_うた
tokyo_chofu_trendy_spa,TRENDY SPA (調布店),25,trendy_spa_真宮 ひかる
tokyo_chofu_unison_spa,ユニゾンスパ (調布店),106,unison_spa_小泉 ゆめ
tokyo_chuo_ginza_aroma_amour,AROMA AMOUR (銀座店),65,aroma_amour_里吉るの
tokyo_chuo_ginza_ginza_rich,Ginza Rich (銀座リッチ),53,ginza_rich_天使みな
tokyo_chuo_ginza_kami_no_esthe_shinbashi,神のエステ 新橋・銀座新富町店 (銀座),51,kami_no_esthe_shinbashi_ほのん
tokyo_chuo_ginza_otonaspa,大人のやすらぎSPA (銀座店),74,otonaspa_中条まどか
tokyo_chuo_ginza_ryugujo,竜宮城 旧百万石 (銀座店),84,ryugujo_葉月みお
tokyo_chuo_nihonbashi_kami_no_esthe,神のエステ (東京・日本橋店),51,kami_no_esthe_るるは
tokyo_chuo_ningyocho_ryugujo,竜宮城 旧百万石 (人形町店),84,ryugujo_葉月みお
tokyo_dispatch_aqua_premium,AQUA PREMIUM (アクアプレミアム),104,aqua_premium_石森れみ
tokyo_dispatch_because,ビコーズ (旧リオン),29,because_広瀬りお
tokyo_dispatch_candy_spa,Candy Spa (キャンディスパ),104,candy_spa_服部 ひより
tokyo_dispatch_hananoame,花の雨リラクゼーション,27,hananoame_椿 リオ
tokyo_dispatch_jukujo_tokyo,熟女東京,26,jukujo_tokyo_弓月 あいり
tokyo_dispatch_the_aroma,ザ アロマ (The Aroma),41,the_aroma_桜井みき
tokyo_dispatch_outside_no_brand,No Brand (ノーブランド),69,no_brand_藤本
tokyo_fuchu_aroma_ella,Aroma ELLA (アロマエラ 府中店),32,aroma_ella_青葉りんか
tokyo_fuchu_kami_chofu,神のエステ (府中店),116,kami_chofu_うた
tokyo_fuchu_luxury_romance,Luxury Romance GROUP (ラグジュアリーロマンスグループ),20,luxury_romance_星乃 りこ
tokyo_fuchu_syalulu,シャルル (旧ディープ府中),31,syalulu_れおな
tokyo_hachioji_rabbit_spa,ラビットスパ (Rabbit Spa) 立川店,68,rabbit_spa_いちか
tokyo_hachioji_rere,RERE GROUP (リリグループ),27,rere_平戸 明日香
tokyo_kita_alice,Alice (アリス) 赤羽,43,alice_橘みゆき
tokyo_kita_crest_spa_tokyo,CREST SPA TOKYO (クレストスパ),44,crest_spa_tokyo_ゆう
tokyo_kita_lamp_akabane,らんぷ 赤羽店,90,lamp_akabane_新藤あみ
tokyo_kita_yorimichi,よりみち (Yorimichi) (旧いごこち),116,yorimichi_三石いのり
tokyo_koganei_west_tokyo,WEST TOKYO (旧結有),30,west_tokyo_1
tokyo_kokubunji_aroma_ella,Aroma ELLA (アロマエラ 国分寺店),32,aroma_ella_青葉りんか
tokyo_kokubunji_esthe_bijin_madam,エステ美人マダム 三鷹店,26,esthe_bijin_madam_1
tokyo_kokubunji_west_tokyo,WEST TOKYO (旧結有),30,west_tokyo_1
tokyo_koto_kameido_muchispa_room,むちすぱルーム 亀戸,28,muchispa_room_るい
tokyo_koto_monzennakacho_rondo,ロンド 旧下弦の月 (門前仲町店),64,rondo_柊
tokyo_meguro_gakugei_daigaku_tokyo_esthe_club,東京えすてクラブ,18,tokyo_esthe_club_神谷のあ
tokyo_meguro_jiyugaoka_doigt_de_fee,doigt de fee (ドゥワドフェ),111,doigt_de_fee_二方あかね
tokyo_meguro_jiyugaoka_mens_esthe_group,メンエスグループ,113,mens_esthe_group_れな
tokyo_meguro_meguro_grace,GRACE (グレース),33,grace_石原あやか
tokyo_meguro_meguro_mens_esthe_group,メンエスグループ,113,mens_esthe_group_れな
tokyo_meguro_meguro_teacher_secret,女教師の秘め事,23,teacher_secret_白石 澪
tokyo_meguro_nakameguro_grace,GRACE (グレース),33,grace_石原あやか
60230,LINDA SPA (中目黒店),177,unknown_牧村くれは
60216,わたしのおうち,29,unknown_椿ひまり
tokyo_minato_akasaka_the_salon,The Salon (ザ・サロン赤坂店),100,the_salon_ぴの
tokyo_minato_azabujuban_kami_no_esthe,神のエステ (Kami no Esthe),308,kami_no_esthe_あきな
tokyo_minato_azabujuban_lunabelle,Aroma Lunabelle (麻布十番店),57,aroma_lunabelle_夏目れいな
60211,Aroma Blossom (広尾店),177,unknown_月音きょうか
60209,NATURAL (六本木店),59,unknown_水野まほ
tokyo_minato_shinbashi_kami_no_esthe_shinbashi,神のエステ 新橋・銀座新富町店 (新橋),51,kami_no_esthe_shinbashi_ほのん
tokyo_minato_shinbashi_lunabelle,Aroma Lunabelle (新橋店),57,aroma_lunabelle_夏目れいな
